Date,Time,Height (ft.)
Friday 23 September 2022,03:58 PM,2.11
Saturday 24 September 2022,04:32 PM,1.72
Sunday 25 September 2022,05:07 PM,1.31
Monday 26 September 2022,05:44 PM,0.9
Tuesday 27 September 2022,06:24 PM,0.53
Friday 30 September 2022,07:40 AM,2.66
Saturday 01 October 2022,08:34 AM,3.12
Sunday 02 October 2022,09:51 AM,3.43
Monday 03 October 2022,11:25 AM,3.45
Tuesday 04 October 2022,12:48 PM,3.13
Wednesday 05 October 2022,01:54 PM,2.62
Thursday 06 October 2022,02:49 PM,2.02
Friday 07 October 2022,03:38 PM,1.42
Saturday 08 October 2022,04:24 PM,0.87
Sunday 09 October 2022,05:07 PM,0.44
Monday 10 October 2022,05:49 PM,0.13
Tuesday 11 October 2022,06:31 PM,-0.03
Friday 14 October 2022,07:49 AM,3.1
Saturday 15 October 2022,08:48 AM,3.44
Sunday 16 October 2022,10:09 AM,3.61
Monday 17 October 2022,11:35 AM,3.53
Tuesday 18 October 2022,12:45 PM,3.26
Wednesday 19 October 2022,01:38 PM,2.87
Thursday 20 October 2022,02:21 PM,2.42
