Date,Time,Height (ft.)
Friday 23 September 2022,02:28 PM,2.85
Saturday 24 September 2022,03:01 PM,2.46
Sunday 25 September 2022,03:36 PM,2.07
Monday 26 September 2022,04:13 PM,1.77
Tuesday 27 September 2022,04:54 PM,1.57
Wednesday 28 September 2022,05:39 PM,1.51
Thursday 29 September 2022,06:34 PM,1.57
Monday 03 October 2022,09:45 AM,4.56
Tuesday 04 October 2022,11:38 AM,4.17
Wednesday 05 October 2022,12:43 PM,3.51
Thursday 06 October 2022,01:34 PM,2.85
Friday 07 October 2022,02:19 PM,2.23
Saturday 08 October 2022,03:02 PM,1.67
Sunday 09 October 2022,03:43 PM,1.31
Monday 10 October 2022,04:24 PM,1.12
Tuesday 11 October 2022,05:05 PM,1.12
Wednesday 12 October 2022,05:49 PM,1.28
Monday 17 October 2022,09:49 AM,4.86
Tuesday 18 October 2022,11:45 AM,4.53
Wednesday 19 October 2022,12:32 PM,4.04
Thursday 20 October 2022,01:07 PM,3.54
