Date,Time,Height (ft.)
Friday 23 September 2022,12:06 PM,0.67
Saturday 24 September 2022,12:53 PM,0.4
Sunday 25 September 2022,01:40 PM,0.15
Monday 26 September 2022,02:26 PM,-0.04
Tuesday 27 September 2022,03:11 PM,-0.15
Wednesday 28 September 2022,03:55 PM,-0.17
Thursday 29 September 2022,04:40 PM,-0.07
Friday 30 September 2022,05:28 PM,0.14
Saturday 01 October 2022,06:20 PM,0.42
Monday 03 October 2022,07:33 AM,0.63
Tuesday 04 October 2022,08:48 AM,0.73
Wednesday 05 October 2022,10:05 AM,0.6
Thursday 06 October 2022,11:14 AM,0.34
Friday 07 October 2022,12:14 PM,0.09
Saturday 08 October 2022,01:06 PM,-0.1
Sunday 09 October 2022,01:53 PM,-0.19
Monday 10 October 2022,02:36 PM,-0.18
Tuesday 11 October 2022,03:15 PM,-0.07
Wednesday 12 October 2022,03:52 PM,0.11
Thursday 13 October 2022,04:28 PM,0.34
Friday 14 October 2022,05:04 PM,0.6
Saturday 15 October 2022,05:43 PM,0.87
Tuesday 18 October 2022,07:37 AM,1.31
Wednesday 19 October 2022,08:44 AM,1.36
Thursday 20 October 2022,09:51 AM,1.2
