Date,Time,Height (ft.)
Friday 23 September 2022,04:43 PM,0.96
Saturday 24 September 2022,05:22 PM,0.63
Sunday 25 September 2022,06:00 PM,0.33
Tuesday 27 September 2022,06:56 AM,0.06
Wednesday 28 September 2022,07:33 AM,0.06
Thursday 29 September 2022,08:13 AM,0.15
Friday 30 September 2022,08:57 AM,0.32
Saturday 01 October 2022,09:46 AM,0.55
Sunday 02 October 2022,10:42 AM,0.8
Monday 03 October 2022,11:45 AM,0.99
Tuesday 04 October 2022,12:55 PM,1.01
Wednesday 05 October 2022,02:07 PM,0.83
Thursday 06 October 2022,03:13 PM,0.48
Friday 07 October 2022,04:14 PM,0.07
Saturday 08 October 2022,05:07 PM,-0.29
Sunday 09 October 2022,05:57 PM,-0.52
Tuesday 11 October 2022,07:01 AM,-0.12
Wednesday 12 October 2022,07:42 AM,0.2
Thursday 13 October 2022,08:23 AM,0.59
Friday 14 October 2022,09:05 AM,0.99
Saturday 15 October 2022,09:50 AM,1.37
Sunday 16 October 2022,10:40 AM,1.69
Monday 17 October 2022,11:35 AM,1.9
Tuesday 18 October 2022,12:35 PM,1.96
Wednesday 19 October 2022,01:35 PM,1.86
Thursday 20 October 2022,02:32 PM,1.6
